Array length,Registers,Run,Threads,Time,Percent error
30,14,16,7,7.9006034869999,0.646681
26,14,16,8,0.437492628999962,0.278581
27,14,16,8,0.872549252999988,0.453553
28,14,16,8,1.80288629400002,1.591019
29,14,16,8,3.47438733400031,0.534132
30,14,16,8,6.94986310100012,0.646681
26,14,17,1,2.50197030599998,0.278581
27,14,17,1,5.22285748100001,0.453553
28,14,17,1,9.88255860300001,1.591019
29,14,17,1,19.6440854490002,0.534132
30,14,17,1,39.5588036580002,0.646681
26,14,17,2,1.23023525600001,0.278581
27,14,17,2,2.484688269,0.453553
28,14,17,2,5.02368995000006,1.591019
29,14,17,2,9.93861769599971,0.534132
30,14,17,2,19.6449514320002,0.646681
26,14,17,3,0.822570645999974,0.278581
27,14,17,3,1.64100932600002,0.453553
28,14,17,3,3.2753676960001,1.591019
29,14,17,3,6.69633475799992,0.534132
30,14,17,3,13.1712619689997,0.646681
26,14,17,4,0.618204231999982,0.278581
27,14,17,4,1.23630075299991,0.453553
28,14,17,4,2.494675766,1.591019
29,14,17,4,4.92270446900011,0.534132
30,14,17,4,10.0608531309999,0.646681
26,14,17,5,0.661716077999984,0.278581
27,14,17,5,1.289209314,0.453553
28,14,17,5,2.59552632800001,1.591019
29,14,17,5,5.16492891600001,0.534132
